,pertanyaan,jawaban
771,Putri saya tampaknya berkembang pada tingkat normal sampai sekitar usia 10 tahun. Dia kemudian mulai bertindak lebih muda dari dia. Sekarang dia hanya ingin bermain dengan anak -anak yang lebih muda dan dia tidak bertindak usianya. Saya tidak tahu mengapa ini terjadi. Apakah ini normal?,"Baik bagi Anda untuk mengetahui lingkaran persahabatan putri Anda dan untuk memperhatikan kapan ini telah berubah. Sementara persahabatan adalah hubungan kunci, mereka bukan satu -satunya indikator seseorang yang tidak berkembang secara normal. Apakah pengamatan dan pendapat Anda bahwa putri Anda tidak normal berdasarkan orang lain faktor atau hanya yang ini? Jika ini adalah satu -satunya faktor maka mulailah dengan merefleksikan keadaan apa yang mungkin memengaruhi putri Anda untuk bersosialisasi dengan anak -anak yang lebih muda. Apakah dia benar -benar dikucilkan atau diintimidasi oleh teman -temannya dan mungkin mundur untuk menghindari rasa sakit emosional lebih lanjut? Apakah? Dia mengikuti pekerjaan sekolahnya? Kadang -kadang anak -anak yang merasa kewalahan dengan tugas sekolah akan mengalami kemunduran ke dalam kondisi di mana mereka merasa lebih sukses dan kendali. Apakah ada keadaan keluarga seperti kematian seseorang yang merasa dekat dengan putri Anda? Atau, apakah ada adik baru dalam keluarga atau adik yang karena keadaan mereka sendiri menerima lebih banyak perhatian daripada yang mungkin diinginkan putri Anda. Pertanyaan tentang kenyamanannya dengan apa yang Anda berteori mungkin menjadi sumber masalah."
772,"Mantan istri saya menikah dan menggunakan saya untuk memiliki anak. Dia sekarang menggunakan anak itu sebagai pion. Saya tahu anak saya merindukan saya, tetapi saya harus pindah dan tidak hidup di masa lalu. Bagaimana cara melakukan ini? Apakah saya melihat anak saya sebanyak mungkin atau sangat sedikit? Apakah lebih membingungkan bagi anak?","Anda dapat ""pindah dan tidak hidup di masa lalu"" dalam konteks mantan hubungan Anda, tetapi itu tidak berarti pindah dari anak Anda. ""Pindah"" kemudian akan melibatkan menerima akhir dari hubungan dan mengembangkan hubungan sipil dengan mantan rekan Anda sejauh mungkin demi perkembangan anak Anda. Secara umum, itu baik untuk orangtua fungsional (tidak abusif) untuk Habiskan waktu dengan anaknya, tetapi hanya sejauh itu tidak menyebabkan anak Anda stres yang tidak perlu. Itu mengharuskan kedua orang dewasa untuk bertindak seperti orang dewasa satu sama lain demi anak mereka. Yang membingungkan bagi anak -anak yang melihat orang tua mereka bertindak tidak sopan atau manipulatif. Anak-anak juga melakukannya dengan baik dengan rutinitas sehingga kunjungan yang dapat diandalkan secara teratur lebih disukai daripada kunjungan acak atau, lebih buruk, tidak menindaklanjuti komitmen. Tetapi jika satu orang mengeksploitasi anak mereka untuk membahayakan mantan rekan mereka, maka mengunjungi anak Anda dalam konteks itu mungkin membuat stres menegangkan kepadanya (tergantung pada apa yang Anda maksud dengan menggunakan anak Anda sebagai pion). Saat berhadapan dengan mantan rekan yang bermusuhan, tantangan pertama Anda adalah menegosiasikan aturan dan batasan dengan mantan rekan Anda tentang perilaku yang tepat untuk kebaikan anak Anda. Jika Anda tidak dapat mencapai kesepakatan, seorang penasihat dapat membantu memediasi percakapan. Jika itu bukan pilihan, maka dimungkinkan untuk beralih ke pengadilan keluarga untuk menetapkan aturan kunjungan (yang Anda harus berkonsultasi dengan pengacara)."
773,"Mantan istri saya menikah dan menggunakan saya untuk memiliki anak. Dia sekarang menggunakan anak itu sebagai pion. Saya tahu anak saya merindukan saya, tetapi saya harus pindah dan tidak hidup di masa lalu. Bagaimana cara melakukan ini? Apakah saya melihat anak saya sebanyak mungkin atau sangat sedikit? Apakah lebih membingungkan bagi anak?","Anak Anda bukan bagian dari masa lalu Anda, ia adalah bagian dari masa kini dan masa depan Anda. Anak Anda membutuhkan Anda. Statistik tentang anak -anak tanpa ayah sangat mengejutkan. Penelitian menunjukkan anak-anak yang dibesarkan dalam pengalaman rumah yang tidak ada ayah sebagai berikut: 4x risiko kemiskinan yang lebih besar, lebih mungkin memiliki masalah perilaku, 7x lebih mungkin hamil saat remaja, lebih mungkin menghadapi pelecehan dan pengabaian, lebih mungkin untuk menyalahgunakan narkoba dan alkohol, 2x lebih mungkin menderita obesitas, 2x lebih mungkin untuk putus sekolah, lebih mungkin untuk melakukan kejahatan dan lebih mungkin masuk penjara. Dengarkan hati Anda dan tanyakan pada diri sendiri, apa yang Anda inginkan untuk anak Anda? Pengasuhan bersama sulit ketika setiap orang tua tidak dapat memprioritaskan kepentingan terbaik anak. Anda dan mantan istri Anda dapat mendapatkan bantuan untuk mempelajari cara bersama orang tua dengan cara yang akan bekerja untuk Anda masing-masing dengan minat terbaik anak Anda dalam pikiran. Yang membingungkan bagi seorang anak adalah mengapa orang tua saya meninggalkan saya dan mereka akan berjuang dengan masalah kelayakan dan harga diri selama sisa hidup mereka. Berikut adalah beberapa situs web untuk Anda periksa dan mendapatkan bantuan dengan pekerjaan terpenting yang pernah Anda miliki ... menjadi seorang ayah! Https: //fatherhoodfactor.com/us-tatherless-statistics/https: //www.fatherhood .org/fatherhood-data-tatisticshttps: //thefatherlessgeneration.wordpress.com/statistics/http: //fathers.com/statistics-and-research/the-consequences-of-fathernessness/"
774,"Mantan istri saya menikah dan menggunakan saya untuk memiliki anak. Dia sekarang menggunakan anak itu sebagai pion. Saya tahu anak saya merindukan saya, tetapi saya harus pindah dan tidak hidup di masa lalu. Bagaimana cara melakukan ini? Apakah saya melihat anak saya sebanyak mungkin atau sangat sedikit? Apakah lebih membingungkan bagi anak?","Hai, situasi Anda terdengar sangat rumit dan sensitif. Penting untuk menanganinya dengan hati -hati karena melibatkan anak -anak Anda. Ketika orang tua berusaha untuk bersama-orang tua, semakin jelas batas dan harapan adalah semakin mudah untuk menjadi orang tua bersama secara efektif. Mengasuh anak Anda tidak ""hidup di masa lalu"", izinkan saya untuk membingkai ulang pendekatan itu dan sebaliknya melihatnya sebagai investasi di masa depan Anda. Anak Anda akan selamanya menjadi anak Anda dan layak dan ayah yang penuh kasih dan perhatian aktif. Meninggal mengirim pesan yang berbeda ke anak Anda dan meninggalkan ruang untuk kebencian. Temukan cara untuk membuat kesepakatan antara Anda dan mantan istri Anda dengan minat terbaik anak Anda sebagai fokus. Pengadilan dapat membantu dengan tujuan ini juga."
775,"Mantan istri saya menikah dan menggunakan saya untuk memiliki anak. Dia sekarang menggunakan anak itu sebagai pion. Saya tahu anak saya merindukan saya, tetapi saya harus pindah dan tidak hidup di masa lalu. Bagaimana cara melakukan ini? Apakah saya melihat anak saya sebanyak mungkin atau sangat sedikit? Apakah lebih membingungkan bagi anak?","Hal yang paling membingungkan seorang anak adalah orang tua untuk datang dan pergi dari kehidupan mereka. Anak -anak memiliki cara membuat kesalahan mereka, bahkan ketika mereka tidak melakukan kesalahan. Karena itu, ketika orang tua memutuskan kontak, anak itu berpikir itu adalah kesalahan mereka. Sulit seperti itu untuk seorang anak, bahkan lebih buruk ketika orang tua keluar dan keluar dari kehidupan mereka. Ini membuat keyakinan lebih kuat bagi mereka. Mereka mulai berpikir, ""Mengapa Ayah terus pergi? Apa yang saya lakukan untuk terus membuatnya pergi?"" Saya percaya seorang anak membutuhkan kedua orang tua dalam hidup mereka. Apakah dia menggunakan Anda untuk anak atau tidak, anak itu masih ada dan tidak pernah meminta ini. Mereka tidak meminta untuk dilahirkan dalam drama dan dua orang tua yang tidak dapat membuat segalanya bekerja. Anda dapat melanjutkan dan memulai dari awal sambil tetap mempertahankan hubungan dengan anak Anda. Jika Anda memulai dari jauh, ini mungkin berarti lebih sedikit kunjungan tetapi Anda masih akan menjadi bagian dari kehidupan mereka. Pastikan saat Anda membuat komitmen kepada anak ini untuk tetap melakukannya. Setiap anak layak mendapatkan sebanyak itu. Semoga berhasil untukmu! :-)"
776,"Mantan istri saya menikah dan menggunakan saya untuk memiliki anak. Dia sekarang menggunakan anak itu sebagai pion. Saya tahu anak saya merindukan saya, tetapi saya harus pindah dan tidak hidup di masa lalu. Bagaimana cara melakukan ini? Apakah saya melihat anak saya sebanyak mungkin atau sangat sedikit? Apakah lebih membingungkan bagi anak?","Apa cara mantan istri Anda menggunakan anak Anda sebagai pion? Jawaban ini menentukan cara terbaik untuk menangani situasi tertentu. Secara dasar, membedakan bahwa hubungan ayah Anda dengan anak Anda yang terakhir memiliki makna besar bagi anak Anda dan sebagai orang dewasa, tanggung jawab Untuk mengelola hubungan ini jatuh pada Anda. Hubungan Anda dengan mantan istri Anda terjadi antara dua orang dewasa dan oleh karena itu Anda hanya bertanggung jawab atas tindakan Anda sendiri untuk memperbaiki kerusakan yang terjadi pada Anda. Dari apa yang Anda tulis, Anda sudah memiliki rencana yang sedang berlangsung Lakukan ini dengan memisahkan diri Anda sebanyak mungkin dari kontak dengan Ex. Sedikit tantangan untuk tetap aktif sebagai orang tua sambil juga menjauhkan dan membersihkan emosi Anda dari rasa sakit dan pengkhianatan yang dilakukan untuk Anda, akan membangun hubungan yang solid dengan Anda anak dan tumbuh lebih banyak penerimaan dan pengampunan diri karena telah dimanfaatkan dan ditipu."
777,"Mantan istri saya menikah dan menggunakan saya untuk memiliki anak. Dia sekarang menggunakan anak itu sebagai pion. Saya tahu anak saya merindukan saya, tetapi saya harus pindah dan tidak hidup di masa lalu. Bagaimana cara melakukan ini? Apakah saya melihat anak saya sebanyak mungkin atau sangat sedikit? Apakah lebih membingungkan bagi anak?","Saya sangat senang Anda menjangkau. Ketika orang tua bercerai, mereka masih perlu mencari cara untuk memiliki hubungan sehingga mereka dapat menjadi orang tua anak mereka. Kita mungkin menceraikan pasangan kita, namun, kita tidak menceraikan anak -anak kita. Jika ada yang perlu diketahui anak -anak kita bahwa kita masih merupakan kekuatan yang stabil dalam hidup mereka. Sayangnya, dalam beberapa hubungan anak -anak digunakan sebagai bagian perundingan dan saya mendengar itu mungkin terjadi dalam hubungan Anda. Anda dapat beralih dari hubungan dengan mantan Anda sambil tetap mempertahankan hubungan dengan anak Anda. Itu mungkin dan perlu kedua orang tua untuk melakukan hal yang benar oleh anak mereka. Penting bagi anak -anak Anda untuk memiliki konsistensi dalam waktunya bersama Anda. Misalnya, jika Anda dan mantan Anda tidak memiliki jadwal pengasuhan, itu adalah sesuatu yang ingin Anda buat sehingga Anda tidak hanya dapat memutuskan untuk Anda ketika Anda akan melihat anak Anda, tetapi anak Anda dapat tahu kapan Anda akan tersedia saja untuk dia. Ini akan meletakkan dasar untuk konsistensi dan memungkinkan anak Anda untuk memiliki keamanan di waktu yang bermasalah. Saya akan sangat menyarankan Anda duduk dengan mantan Anda dan mendiskusikan bagaimana Anda berdua dapat menjadi sumber positif dalam kehidupan anak Anda. Bagaimana Anda berdua bisa berada di sana untuk membantu membesarkannya. Jika ini bukan percakapan yang dapat Anda miliki sendiri, Anda mungkin mencari bantuan dari pengadilan. Ada ahli pengasuhan dan mediator yang mungkin dapat membantu Anda. Ingatlah, dalam diskusi apa pun tetap fokus pada apa yang terbaik untuk anak Anda dan Anda akan bergerak ke arah yang benar. Keberuntungan terbaik untuk Anda!"
778,"Mantan istri saya menikah dan menggunakan saya untuk memiliki anak. Dia sekarang menggunakan anak itu sebagai pion. Saya tahu anak saya merindukan saya, tetapi saya harus pindah dan tidak hidup di masa lalu. Bagaimana cara melakukan ini? Apakah saya melihat anak saya sebanyak mungkin atau sangat sedikit? Apakah lebih membingungkan bagi anak?","Jika Anda memiliki hubungan yang baik dengan anak Anda maka Anda telah menerima dan diterima sebagai orang tua anak ini dan Anda memiliki komitmen dan kewajiban untuk memainkan peran itu. Jika Anda tiba -tiba absen dari kehidupan anak ini maka Anda mungkin melakukan kerusakan nyata. Mengerjakan pengaturan dengan ibu anak untuk kunjungan rutin yang dapat diandalkan anak dan berkomitmen oleh kedua orang tua akan melayani kepentingan terbaik anak, yang saya asumsikan adalah apa yang benar -benar diperhatikan oleh kedua orang tua. Kunjungan tidak harus setiap hari, seminggu sekali, bahkan sebulan sekali, lebih baik daripada memukul dan melewatkan absen lama di antaranya. Semoga sukses untuk Anda, dan fakta bahwa Anda mengajukan pertanyaan mengatakan volume tentang potensi pengasuhan Anda. Jangan ragu untuk menindaklanjuti dengan saya, secara online atau secara langsung."
779,"Mantan istri saya menikah dan menggunakan saya untuk memiliki anak. Dia sekarang menggunakan anak itu sebagai pion. Saya tahu anak saya merindukan saya, tetapi saya harus pindah dan tidak hidup di masa lalu. Bagaimana cara melakukan ini? Apakah saya melihat anak saya sebanyak mungkin atau sangat sedikit? Apakah lebih membingungkan bagi anak?","Anda berada dalam situasi yang sulit dan atas nama Anda dan anak Anda, saya memuji Anda karena mencoba menemukan hal yang benar untuk dilakukan. Versi SHORT: Anak Anda membutuhkan Anda sebanyak mungkin. Titik. Selalu. Kami dulu berpikir bahwa anak -anak hampir selalu dirugikan oleh perceraian, kecuali ada konflik atau kekerasan yang ekstrem. Data yang lebih baru menunjukkan bahwa anak -anak tidak harus dirugikan oleh perceraian jika mereka memelihara kedua orang tua mereka. Dengan kata lain, bagian yang merusak kehilangan setengah dari diri mereka sendiri dan kehilangan nilai karena terhubung dengan semua orang yang mencintai mereka, terutama orang tua lainnya, selain manfaat ekstra yang ada dari perspektif orang tua lain, kekuatan dan sebagainya. Hal terbaik bagi anak Anda adalah agar Anda tersedia dan mencintai dan melakukan segala yang mungkin untuk memungkinkan anak menjadi utuh - seseorang yang menggabungkan kedua orang tua. Merupakan tragedi bagi semua orang untuk menggunakan anak untuk mencapai tujuan orang dewasa, seperti kembali pada mantan pasangan. Dalam keadaan seperti itu, anak Anda membutuhkan lebih dari sebelumnya. Jika Anda dan istri Anda memiliki aturan yang berbeda dan sebagainya, anak Anda akan belajar untuk menyesuaikan dan beradaptasi, seperti yang mereka lakukan jika Anda tetap di rumah tangga. Seorang anak dengan cepat mengetahui bahwa mereka berbicara dengan ibu tentang x, y, z atau lolos dengan apa pun, tetapi memiliki aturan yang berbeda dengan ayah. Dia tidak akan terlalu bingung dalam jangka panjang. Harap tetap kursus dalam berurusan dengan mantan istri yang sulit untuk Anda dan kesejahteraan anak Anda. Semoga sukses untuk semua."
780,"Saya seorang penasihat di hari perkemahan di mana kami memiliki anak dengan autisme parah. Kami mencoba membuatnya terhibur dengan membawa kartu -kartu ketika dia mulai berakting sehingga kami bisa membuatnya fokus pada sesuatu yang lain. Administrator kamp hari telah memberi tahu kami untuk tidak berteriak padanya karena dia akan keluar dan tidak mendengarkan, jadi kami hanya berbicara dengan suara yang tenang. Namun, anak -anak lain melihat perawatannya tidak adil.","Interaksi perilaku dengan seseorang yang memiliki autisme parah membutuhkan pelatihan yang sangat khusus, baik untuk setiap staf profesional yang terlibat dengan orang tersebut dan untuk anggota keluarga. Ini adalah situasi yang tidak adil bagi orang yang memiliki autisme maupun berkemah yang tidak, untuk tidak, untuk tidak, untuk tidak, untuk tidak, untuk tidak, untuk tidak, untuk tidak, untuk tidak, untuk tidak, untuk tidak, untuk tidak, untuk tidak, untuk tidak ada autisme yang tidak memiliki autisme maupun berkemah yang tidak Harapkan kedua belah pihak untuk bergaul secara harmonis. Dalam urutan untuk mencapai hal ini, para berkemah akan membutuhkan pelatihan khusus untuk mengetahui bagaimana merespons kesusahan dalam kemping yang memiliki autisme. Ini jelas akan meregangkan dan membebani anggaran perkemahan musim panas serta memberikan kegiatan yang biasanya bukan bagian dari perkemahan musim panas untuk anak -anak. Apa yang dapat Anda lakukan yang mungkin produktif dalam membantu kemping yang memiliki autisme, adalah untuk menunjukkan kesulitan interaksi kepada para administrator musim panas. Secara keseluruhan adalah masalah mereka untuk hanya membawa para berkemah yang berkemah siapa Mampu menyesuaikan diri secara wajar untuk bersosialisasi bersama dan dari apa yang Anda tulis, administrasi telah melampaui siapa yang mereka anggap sebagai teman kemping yang masuk akal."
781,"Ketika anak saya masih remaja, kami mengirimnya untuk tinggal bersama ayahnya karena sikap tidak sopan yang konstan. Seminggu setelah dia lulus, ayahnya membuatnya pergi karena masalah yang sama. Keempat orang tua mencoba berbicara dengannya, dan dia hanya menolak bantuan di sekitar. Dia sekarang tinggal bersama kakek -neneknya. Dia punya pekerjaan, dan mengambil langkah -langkah untuk mendapatkan lisensi dan kendaraan yang diasuransikan. Saya pikir dia sedang menuju jalan yang benar, dan kemudian dia mengatakan kepada saya bahwa dia berhenti dari pekerjaannya karena dia tidak menyukainya. Saya tidak tahu harus berbuat apa.","Mungkin cara terbaik untuk mendukung putra Anda adalah dengan memberi tahu dia apa yang mengganggu Anda tentang cara dia menangani dirinya sendiri. Jika Anda ingin dia bekerja dengan saran Anda maka sebelum Anda membuat komentar kritis, pastikan untuk memvalidasi poin kuatnya dan ke mengenali bakat alaminya. Orang -orang jauh lebih mungkin untuk menerima nasihat jika orang tersebut merasa kritik diucapkan oleh seseorang yang menghormati mereka dan tidak hanya kritis terhadap mereka. dia dengan cara yang tidak menghakimi."
782,"Ketika anak saya masih remaja, kami mengirimnya untuk tinggal bersama ayahnya karena sikap tidak sopan yang konstan. Seminggu setelah dia lulus, ayahnya membuatnya pergi karena masalah yang sama. Keempat orang tua mencoba berbicara dengannya, dan dia hanya menolak bantuan di sekitar. Dia sekarang tinggal bersama kakek -neneknya. Dia punya pekerjaan, dan mengambil langkah -langkah untuk mendapatkan lisensi dan kendaraan yang diasuransikan. Saya pikir dia sedang menuju jalan yang benar, dan kemudian dia mengatakan kepada saya bahwa dia berhenti dari pekerjaannya karena dia tidak menyukainya. Saya tidak tahu harus berbuat apa.","Saya mengagumi usaha Anda. Anda dapat terus menawarkan bantuan untuk putra Anda, tetapi pada akhirnya terserah dia untuk memutuskan apa yang harus dilakukan dengan informasi atau ide yang Anda berikan kepadanya. Satu hal yang mungkin Anda coba adalah mengajukan pertanyaan dengan cara yang memungkinkan Anda untuk Pelajari lebih lanjut tentang apa yang dia alami. Misalnya, jika dia bersedia berbicara dengan Anda tentang apa yang dia lakukan setiap hari dan/atau apa yang ingin dia lakukan, Anda mungkin dapat memahami apa yang menurutnya sulit dan menemukan beberapa sumber daya untuk membantu. Saya mungkin menanyakan hal -hal seperti ini (sama seperti contoh): Bisakah kita berbicara selama beberapa menit tentang beberapa hal yang ingin saya pelajari lebih lanjut? Saya hanya ingin mempelajari lebih lanjut tentang apa yang telah terjadi pada Anda baru -baru ini dan saya ' Saya tidak mencoba membuat Anda melakukan apa pun. Saya tahu Anda mengatakan Anda berhenti dari pekerjaan karena Anda tidak menyukainya. Bisakah Anda memberi tahu saya lebih banyak tentang apa yang Anda sukai dan apa yang tidak Anda sukai? Apakah Anda melihat diri Anda melakukan pekerjaan yang sama di masa depan? Apa yang membuat Anda bahagia atau apa yang Anda nantikan? Anda memikirkan apa pun yang dapat saya lakukan untuk mendukung Anda? Jika dia tertarik, Anda mungkin dapat menghubungkannya dengan Area Community College untuk mempelajari lebih lanjut tentang kemungkinan peluang kerja. Dengan cara saya menulis pertanyaan di atas, Mungkin kedengarannya relatif mudah. Pada kenyataannya, ini mungkin bukan percakapan yang mudah dan putra Anda dapat memilih untuk tidak membahasnya dengan Anda. Jika itu masalahnya, saya akan mengingatkan diri sendiri bahwa Anda mencoba melakukan semua yang Anda bisa."
783,"Dia menangis karena dia kehilangan semua kepercayaan padaku. Sekarang saya merasa menjijikkan dan seperti hati saya baru saja ditikam, apa yang harus saya lakukan?","Anda merasa tidak enak saat berbohong, jadi Anda mengatakan yang sebenarnya. Saya membayangkan ibumu benar -benar terkejut dan kesal - kedua hal itu memberi tahu saya bahwa Anda adalah orang yang sangat jujur. Mungkin saja ibumu memiliki reaksi besar hanya karena dia telah belajar bahwa anaknya, dari siapa dia selalu menganggap kejujuran, mampu menjadi tidak jujur. Itu tidak luar biasa, tapi ini bukan akhir dunia. Anda membuat kesalahan - Anda akan membuat lebih banyak dari mereka dalam hidup Anda, cukup cobalah untuk tidak membuat yang sama berulang kali. Sepertinya Anda dan ibu Anda dekat sehingga saya bisa melihat mengapa rasanya begitu buruk untuk dimiliki dia tidak mempercayaimu. Karena Anda adalah orang yang jujur ​​secara fundamental, jalan kembali menjadi tepercaya akan menjadi sederhana, tetapi mungkin membutuhkan sedikit waktu. ""Resep"" itu mudah - katakan apa yang Anda lakukan/akan lakukan; Lakukan hanya itu kecuali perubahan diperlukan, dalam hal ini Anda memberi tahu orang lain yang terlibat, dan ulangi. Dan potong diri sendiri. Ibumu akan pulih dan begitu juga kamu. Ini adalah pelajaran yang penting dan menyakitkan tentang integritas, tetapi setelah dipelajari itu akan melayani Anda dengan baik."
784,"Dia menangis karena dia kehilangan semua kepercayaan padaku. Sekarang saya merasa menjijikkan dan seperti hati saya baru saja ditikam, apa yang harus saya lakukan?",Sepertinya Anda sudah belajar bahwa hanya bersikap jujur ​​seringkali merupakan pendekatan terbaik. Apa pendapat Anda tentang memberi tahu ibu Anda bagaimana perasaan Anda? Dia mungkin sangat menghargainya jika Anda juga memberi tahu dia bahwa mendapatkan kembali kepercayaannya sangat penting bagi Anda.
785,"Dia menangis karena dia kehilangan semua kepercayaan padaku. Sekarang saya merasa menjijikkan dan seperti hati saya baru saja ditikam, apa yang harus saya lakukan?","Hai! Kedengarannya seperti bagian dari Anda yang mengetahui hal yang benar untuk dilakukan di sini! Saya sangat bangga dengan Anda karena mengakui bahwa Anda berbohong kepada ibumu! Terkadang kebohongan keluar dari mulut kita sebelum kita bahkan dapat menangkapnya karena kita mencoba mengatakan apa yang ingin didengar orang lain. Saya yakin, ketika Anda mulai menunjukkan kepadanya bahwa Anda tidak akan berbohong lagi, dia akan mulai mempercayai Anda lagi! Bersikaplah terbuka dengan perasaan Anda dengan Anda ibu - dia ada di sana untuk mendukung Anda, membimbing Anda dan mencintai Anda! Beri dia banyak pelukan - dan berikan diri Anda satu juga karena begitu berani! Bijaklah!"
786,"Tidak ada komunikasi sama sekali di antara kita. Dia tidur terus -menerus sepanjang hari (tidak di malam hari). Dia bertingkah marah dan tidak fokus dan tinggal di kamarnya yang sangat berantakan sepanjang waktu. Satu -satunya waktu dia keluar adalah makan. Dia mengalami rasa sakit dan kelelahan, kenaikan berat badan, kerontokan rambut dan masalah kulit. Dia tidak menjaga kesehatannya. 
    Saya tidak tahu bagaimana berkomunikasi dengannya. Dia tidak terbuka untuk saran apa pun. Bagaimana cara menghubungi dia?","Kedengarannya mengerikan, dan jelas tidak berkelanjutan. Ada beberapa jawaban hebat yang memberikan beberapa panduan tentang apa yang mungkin menjadi kondisi yang mendasarinya. Jika semua masalah kesehatan fisik dan mental dikesampingkan, saatnya untuk mengambil tindakan. Dapatkan cadangan dari teman atau anggota keluarga jika perlu, tetapi beri tahu putri Anda bahwa Anda memberi pemberitahuan 30 hari. Dia perlu menemukan tempat lain untuk tinggal dalam waktu itu. Jika dia ingin tinggal bersamamu, jelaskan bahwa pertama -tama dia harus pergi, dengan potensi untuk kembali setelah dia keluar untuk waktu yang baik. Setelah keluar, dia dapat membuktikan kepada Anda, dan yang lebih penting untuk dirinya sendiri, bahwa dia mampu menjaga kesehatan dan lingkungannya. Ingat, Anda akan mengesampingkan masalah yang tidak mungkin baginya untuk menjadi sukses; Jika dia dalam keadaan sehat, dia tinggal bersama Anda dan hidup seperti ini sebenarnya menyakitinya."
787,"Tidak ada komunikasi sama sekali di antara kita. Dia tidur terus -menerus sepanjang hari (tidak di malam hari). Dia bertingkah marah dan tidak fokus dan tinggal di kamarnya yang sangat berantakan sepanjang waktu. Satu -satunya waktu dia keluar adalah makan. Dia mengalami rasa sakit dan kelelahan, kenaikan berat badan, kerontokan rambut dan masalah kulit. Dia tidak menjaga kesehatannya. 
    Saya tidak tahu bagaimana berkomunikasi dengannya. Dia tidak terbuka untuk saran apa pun. Bagaimana cara menghubungi dia?","Halo, saya tahu bahwa situasi Anda membuat frustrasi dan melemahkan. Sepertinya dia memiliki kondisi medis atau mental. Dia butuh bantuan, dan untuk suara itu, Anda ingin membantunya. Saya menyarankan agar Anda meluangkan waktu untuk merenungkan cara dan waktu terbaik untuk mendekatinya. Latih sebelumnya apa yang Anda ingin dia dengar dan apa tujuan akhirnya. Saya tahu itu mungkin tampak seperti banyak pekerjaan yang harus Anda lakukan dan mungkin Anda bahkan merasa frustrasi tentang hal itu, tetapi satu -satunya cara Anda akan mencapainya adalah jika Anda mendekatinya dengan cara dia mendengar kekhawatiran dan keinginan Anda untuk membantunya. Bersiaplah dengan fakta dan tempat untuk mencari bantuan. Semakin siap Anda, semakin baik peluangnya untuk menindaklanjutinya. Ingatkan dia betapa Anda mencintainya dan bagaimana itu tidak sehat untuknya atau untuk hubungan ini untuk dilanjutkan. Dengan banyak cinta dan kesabaran, Anda dapat membuat perbedaan. Tetap kuat! Semoga sukses untuk Anda dan putri Anda, Mirella ~"
788,"Tidak ada komunikasi sama sekali di antara kita. Dia tidur terus -menerus sepanjang hari (tidak di malam hari). Dia bertingkah marah dan tidak fokus dan tinggal di kamarnya yang sangat berantakan sepanjang waktu. Satu -satunya waktu dia keluar adalah makan. Dia mengalami rasa sakit dan kelelahan, kenaikan berat badan, kerontokan rambut dan masalah kulit. Dia tidak menjaga kesehatannya. 
    Saya tidak tahu bagaimana berkomunikasi dengannya. Dia tidak terbuka untuk saran apa pun. Bagaimana cara menghubungi dia?","Saya minta maaf atas apa yang terdengar seperti situasi yang membuat frustrasi. Untuk berapa lama putri Anda hidup seperti yang Anda gambarkan dan apakah itu dimulai secara tiba -tiba atau lebih secara bertahap datang? Apa yang Anda tulis terdengar seperti gangguan depresi besar dan ini bisa dimulai Karena berbagai alasan dan meningkatkan dengan cara yang sama seperti yang berbeda dengan perasaan Anda tentang situasi tersebut. Tanyakan pada diri Anda berapa lama Anda akan dapat mentolerir cara putri Anda hidup dan jika Anda merasakan kepuasan dalam hubungan putri ibu Anda. Jika dia memiliki usia yang sah, dan Anda tidak ingin dia tinggal bersama Anda, Anda telah mencoba meyakinkannya untuk mendapatkan perawatan medis demi dirinya sendiri dan untuk lebih jelas melihat kesehatan emosional dan psikologisnya, dan dia tidak mau merawat dirinya sendiri, Anda dapat mendiskusikan pilihan Anda dengan Badan Layanan Perlindungan Dewasa di negara bagian Anda. Langkah pertama. Langkah pertama. adalah mengetahui apa sebenarnya masalahnya sehingga Anda dapat memutuskan apakah itu sendiri Anda bersedia mengurus atau tidak."
